particle_id,event_id,pdg_id,energy,vx,vy,vz
10227,490,22,547.9321,-53.25319,248.5852,854.6228
10226,490,22,124.28793,-53.226868,248.46202,854.20624
10225,490,22,72.40512,-52.909554,246.97691,849.18353
10270,490,-11,2.6869998,-167.29947,958.2661,3236.1555
10285,490,11,2.3699467,-166.25027,949.19574,3206.0007
10259,490,-11,1.2575756,-167.01854,955.91693,3228.2178
10309,490,-11,1.1354432,-166.07549,947.6941,3200.9966
10308,490,11,1.1272448,-166.07549,947.6941,3200.9966
10322,490,11,0.8990781,-166.63985,952.4589,3216.891
10304,490,11,0.88630795,-166.25798,949.2664,3206.234
10223,490,22,0.7535535,-25.422468,118.46925,414.53064
10245,490,-11,0.71737134,-167.08354,956.57275,3230.609
10281,490,-11,0.6777132,-166.56767,951.9466,3215.154
10300,490,-11,0.6104861,-166.25644,949.2477,3206.171
10249,490,11,0.5467596,-166.84676,954.4379,3223.387
10297,490,-11,0.47402048,-166.25696,949.2462,3206.1702
10286,490,-11,0.44925368,-166.25027,949.19574,3206.0007
10231,490,-11,0.42422587,-167.57118,961.6639,3246.8254
10244,490,11,0.40251452,-167.08354,956.57275,3230.609
10239,490,11,0.38604423,-167.13742,957.0374,3231.993
10253,490,-11,0.3720048,-166.58075,952.103,3215.625
10323,490,-11,0.33979,-166.63985,952.4589,3216.891
10233,490,11,0.33226672,-167.78258,963.1277,3252.064
10235,490,-11,0.29719397,-167.25633,958.28766,3236.1743
10224,490,22,0.2752617,-42.748775,199.43295,688.38
10319,490,11,0.2694656,-166.60667,952.2043,3216.0266
10269,490,11,0.26928896,-167.29947,958.2661,3236.1555
10236,490,11,0.25771582,-167.10255,956.79724,3231.2395
10258,490,11,0.25585452,-167.01854,955.91693,3228.2178
10237,490,-11,0.24282704,-167.10255,956.79724,3231.2395
10266,490,11,0.22984073,-166.44089,950.8523,3211.4814
10252,490,11,0.22313966,-166.58075,952.103,3215.625
10267,490,-11,0.22018562,-166.44089,950.8523,3211.4814
10257,490,11,0.1891574,-169.49397,978.3486,3302.4094
10230,490,11,0.18905225,-167.57118,961.6639,3246.8254
10305,490,-11,0.18664075,-166.25798,949.2664,3206.234
10321,490,11,0.1830958,-166.08972,947.8135,3201.395
10320,490,-11,0.1794745,-166.60667,952.2043,3216.0266
10240,490,-11,0.1681317,-167.13742,957.0374,3231.993
10234,490,-11,0.16160682,-167.78258,963.1277,3252.064
10280,490,11,0.120272465,-166.39821,950.47626,3210.2554
10243,490,11,0.11952462,-167.95674,964.5949,3256.645
13385,490,-11,0.06224273,-163.5523,762.03815,2591.6619
13384,490,11,0.028504647,-163.5523,762.03815,2591.6619
10228,490,11,0.0013889417,-142.8586,761.4554,2578.92
10229,490,11,0.0013547506,-142.87408,761.56824,2579.2974
10250,490,11,0.0010485661,-124.43504,973.6258,3004.7812
